source_url,source_type,title,material_id,reported_active_for_co2rr,download_url,original_format,local_filename,status,notes
,uncertain data,216005_Catalytic_cycle_ZnMg_TS3b_ZnMg_sp.cif,216005_Catalytic_cycle_ZnMg_TS3b_ZnMg_sp,maybe,,CIF,216005_Catalytic_cycle_ZnMg_TS3b_ZnMg_sp.cif,rescued_from_uncertain,Recovered from uncertain data as possible cluster/complex candidate
,uncertain data,216009_Catalytic_cycle_ZnMg_TS2_ZnMg_sp.cif,216009_Catalytic_cycle_ZnMg_TS2_ZnMg_sp,maybe,,CIF,216009_Catalytic_cycle_ZnMg_TS2_ZnMg_sp.cif,rescued_from_uncertain,Recovered from uncertain data as possible cluster/complex candidate
,uncertain data,216011_Catalytic_cycle_ZnMg_TS1_ZnMg_sp.cif,216011_Catalytic_cycle_ZnMg_TS1_ZnMg_sp,maybe,,CIF,216011_Catalytic_cycle_ZnMg_TS1_ZnMg_sp.cif,rescued_from_uncertain,Recovered from uncertain data as possible cluster/complex candidate
,uncertain data,216013_Catalytic_cycle_ZnMg_Int8a_ZnMg_sp.cif,216013_Catalytic_cycle_ZnMg_Int8a_ZnMg_sp,maybe,,CIF,216013_Catalytic_cycle_ZnMg_Int8a_ZnMg_sp.cif,rescued_from_uncertain,Recovered from uncertain data as possible cluster/complex candidate
,uncertain data,216015_Catalytic_cycle_ZnMg_Int7a_ZnMg_sp.cif,216015_Catalytic_cycle_ZnMg_Int7a_ZnMg_sp,maybe,,CIF,216015_Catalytic_cycle_ZnMg_Int7a_ZnMg_sp.cif,rescued_from_uncertain,Recovered from uncertain data as possible cluster/complex candidate
,uncertain data,216017_Catalytic_cycle_ZnMg_Int6b_ZnMg_sp.cif,216017_Catalytic_cycle_ZnMg_Int6b_ZnMg_sp,maybe,,CIF,216017_Catalytic_cycle_ZnMg_Int6b_ZnMg_sp.cif,rescued_from_uncertain,Recovered from uncertain data as possible cluster/complex candidate
,uncertain data,216020_Catalytic_cycle_ZnMg_Int5b_ZnMg_sp.cif,216020_Catalytic_cycle_ZnMg_Int5b_ZnMg_sp,maybe,,CIF,216020_Catalytic_cycle_ZnMg_Int5b_ZnMg_sp.cif,rescued_from_uncertain,Recovered from uncertain data as possible cluster/complex candidate
,uncertain data,216023_Catalytic_cycle_ZnMg_Int5a_ZnMg_sp.cif,216023_Catalytic_cycle_ZnMg_Int5a_ZnMg_sp,maybe,,CIF,216023_Catalytic_cycle_ZnMg_Int5a_ZnMg_sp.cif,rescued_from_uncertain,Recovered from uncertain data as possible cluster/complex candidate
,uncertain data,216026_Catalytic_cycle_ZnMg_Int4_ZnMg.cif,216026_Catalytic_cycle_ZnMg_Int4_ZnMg,maybe,,CIF,216026_Catalytic_cycle_ZnMg_Int4_ZnMg.cif,rescued_from_uncertain,Recovered from uncertain data as possible cluster/complex candidate
,uncertain data,216027_Catalytic_cycle_ZnMg_Int3_ZnMg_sp.cif,216027_Catalytic_cycle_ZnMg_Int3_ZnMg_sp,maybe,,CIF,216027_Catalytic_cycle_ZnMg_Int3_ZnMg_sp.cif,rescued_from_uncertain,Recovered from uncertain data as possible cluster/complex candidate
,uncertain data,216029_Catalytic_cycle_ZnMg_Int2_ZnMg_sp.cif,216029_Catalytic_cycle_ZnMg_Int2_ZnMg_sp,maybe,,CIF,216029_Catalytic_cycle_ZnMg_Int2_ZnMg_sp.cif,rescued_from_uncertain,Recovered from uncertain data as possible cluster/complex candidate
,uncertain data,216045_Catalytic_cycle_MgZn_Int1_MgZn_sp.cif,216045_Catalytic_cycle_MgZn_Int1_MgZn_sp,maybe,,CIF,216045_Catalytic_cycle_MgZn_Int1_MgZn_sp.cif,rescued_from_uncertain,Recovered from uncertain data as possible cluster/complex candidate
,uncertain data,216047_Catalytic_cycle_MgMg_TS2_MgMg_sp.cif,216047_Catalytic_cycle_MgMg_TS2_MgMg_sp,maybe,,CIF,216047_Catalytic_cycle_MgMg_TS2_MgMg_sp.cif,rescued_from_uncertain,Recovered from uncertain data as possible cluster/complex candidate
,uncertain data,216049_Catalytic_cycle_MgMg_TS1_MgMg.cif,216049_Catalytic_cycle_MgMg_TS1_MgMg,maybe,,CIF,216049_Catalytic_cycle_MgMg_TS1_MgMg.cif,rescued_from_uncertain,Recovered from uncertain data as possible cluster/complex candidate
,uncertain data,216051_Catalytic_cycle_MgMg_Int4_MgMg_sp.cif,216051_Catalytic_cycle_MgMg_Int4_MgMg_sp,maybe,,CIF,216051_Catalytic_cycle_MgMg_Int4_MgMg_sp.cif,rescued_from_uncertain,Recovered from uncertain data as possible cluster/complex candidate
,uncertain data,216053_Catalytic_cycle_MgMg_Int3_MgMg.cif,216053_Catalytic_cycle_MgMg_Int3_MgMg,maybe,,CIF,216053_Catalytic_cycle_MgMg_Int3_MgMg.cif,rescued_from_uncertain,Recovered from uncertain data as possible cluster/complex candidate
,uncertain data,216055_Catalytic_cycle_MgMg_Int2_MgMg_sp.cif,216055_Catalytic_cycle_MgMg_Int2_MgMg_sp,maybe,,CIF,216055_Catalytic_cycle_MgMg_Int2_MgMg_sp.cif,rescued_from_uncertain,Recovered from uncertain data as possible cluster/complex candidate
,uncertain data,216057_Catalytic_cycle_MgMg_Int1_MgMg_sp.cif,216057_Catalytic_cycle_MgMg_Int1_MgMg_sp,maybe,,CIF,216057_Catalytic_cycle_MgMg_Int1_MgMg_sp.cif,rescued_from_uncertain,Recovered from uncertain data as possible cluster/complex candidate
,uncertain data,216059_Catalytic_cycle_MgMg_cat_MgMg_sp.cif,216059_Catalytic_cycle_MgMg_cat_MgMg_sp,maybe,,CIF,216059_Catalytic_cycle_MgMg_cat_MgMg_sp.cif,rescued_from_uncertain,Recovered from uncertain data as possible cluster/complex candidate
,uncertain data,312052_RuIIbpy3_e.cif,312052_RuIIbpy3_e,maybe,,CIF,312052_RuIIbpy3_e.cif,rescued_from_uncertain,Recovered from uncertain data as possible cluster/complex candidate
,uncertain data,312053_RuIIIbpy3.cif,312053_RuIIIbpy3,maybe,,CIF,312053_RuIIIbpy3.cif,rescued_from_uncertain,Recovered from uncertain data as possible cluster/complex candidate
,uncertain data,312054_RuIIbpy3.cif,312054_RuIIbpy3,maybe,,CIF,312054_RuIIbpy3.cif,rescued_from_uncertain,Recovered from uncertain data as possible cluster/complex candidate
,uncertain data,312055_RuIIIbpy3_e.cif,312055_RuIIIbpy3_e,maybe,,CIF,312055_RuIIIbpy3_e.cif,rescued_from_uncertain,Recovered from uncertain data as possible cluster/complex candidate
,uncertain data,320156_II.cif,320156_II,maybe,,CIF,320156_II.cif,rescued_from_uncertain,Recovered from uncertain data as possible cluster/complex candidate
,uncertain data,320158_Iprime.cif,320158_Iprime,maybe,,CIF,320158_Iprime.cif,rescued_from_uncertain,Recovered from uncertain data as possible cluster/complex candidate
,uncertain data,320159_IV.cif,320159_IV,maybe,,CIF,320159_IV.cif,rescued_from_uncertain,Recovered from uncertain data as possible cluster/complex candidate
,uncertain data,320161_I.cif,320161_I,maybe,,CIF,320161_I.cif,rescued_from_uncertain,Recovered from uncertain data as possible cluster/complex candidate
,uncertain data,320162_CO2-AlCl3.cif,320162_CO2-AlCl3,maybe,,CIF,320162_CO2-AlCl3.cif,rescued_from_uncertain,Recovered from uncertain data as possible cluster/complex candidate
,uncertain data,332017_No_solvation_Zn_pc_-CO2_assembly_Zn_pc__unrelaxed_fragment.cif,332017_No_solvation_Zn_pc_-CO2_assembly_Zn_pc__unrelaxed_fragment,maybe,,CIF,332017_No_solvation_Zn_pc_-CO2_assembly_Zn_pc__unrelaxed_fragment.cif,rescued_from_uncertain,Recovered from uncertain data as possible cluster/complex candidate
,uncertain data,332045_Triethylamine_solvation_model_Zn_pc_-CO2__assembly_in_trieth.cif,332045_Triethylamine_solvation_model_Zn_pc_-CO2__assembly_in_trieth,maybe,,CIF,332045_Triethylamine_solvation_model_Zn_pc_-CO2__assembly_in_trieth.cif,rescued_from_uncertain,Recovered from uncertain data as possible cluster/complex candidate
