filename,n_atoms,composition,metal_score,d_band_proxy,active_site_score,size_score,en_score,intermediate_score,surface_ratio,total_score,label,error
194341_Bare_surface.cif,16,Se8 Zn8,0.7833,0.5589,1.0,0.5231,0.7,0.0,1.0,61.28,likely_active,
194349_MEMI_coverage_25pc_coverage.cif,51,C6 H10 N2 S1 Se16 Zn16,0.7833,0.5756,1.0,0.7781,0.7,0.0,0.6275,60.36,likely_active,
194350_MEMI_coverage_12pc_coverage.cif,83,C6 H10 N2 S1 Se32 Zn32,0.7833,0.5839,1.0,0.962,0.7,0.0,0.7711,63.76,likely_active,
194352_H_coverage_Bare_ZnSe_Added_electron_Site_10.cif,17,H1 Se8 Zn8,0.7833,0.5589,1.0,0.5231,0.7,0.1,0.9412,62.69,likely_active,
194353_H_coverage_Bare_ZnSe_Added_electron_Site_0.cif,17,H1 Se8 Zn8,0.7833,0.5644,1.0,0.5231,0.7,0.1,0.9412,62.78,likely_active,
194354_H_coverage_Bare_ZnSe_Added_electron_Site_8.cif,17,H1 Se8 Zn8,0.7833,0.5644,1.0,0.5231,0.7,0.1,0.9412,62.78,likely_active,
194355_H_coverage_Bare_ZnSe_Added_electron_Site_7.cif,17,H1 Se8 Zn8,0.7833,0.5589,1.0,0.5231,0.7,0.1,0.9412,62.69,likely_active,
194356_H_coverage_Bare_ZnSe_Added_electron_Site_6.cif,17,H1 Se8 Zn8,0.7833,0.5589,1.0,0.5231,0.7,0.1,0.9412,62.69,likely_active,
194357_H_coverage_Bare_ZnSe_Added_electron_Site_5.cif,17,H1 Se8 Zn8,0.7833,0.5589,1.0,0.5231,0.7,0.1,0.9412,62.69,likely_active,
194358_H_coverage_Bare_ZnSe_Added_electron_Site_3.cif,17,H1 Se8 Zn8,0.7833,0.5644,1.0,0.5231,0.7,0.0,0.9412,60.78,likely_active,
194359_H_coverage_Bare_ZnSe_Added_electron_Site_2.cif,17,H1 Se8 Zn8,0.7833,0.5589,1.0,0.5231,0.7,0.1,0.9412,62.69,likely_active,
194360_H_coverage_Bare_ZnSe_Neutral_Site_10.cif,17,H1 Se8 Zn8,0.7833,0.5644,1.0,0.5231,0.7,0.1,0.9412,62.78,likely_active,
194361_H_coverage_Bare_ZnSe_Neutral_Site_0.cif,17,H1 Se8 Zn8,0.7833,0.5644,1.0,0.5231,0.7,0.1,0.9412,62.78,likely_active,
194362_H_coverage_Bare_ZnSe_Neutral_Site_4.cif,17,H1 Se8 Zn8,0.7833,0.5589,1.0,0.5231,0.7,0.1,0.9412,62.69,likely_active,
194363_H_coverage_Bare_ZnSe_Neutral_Site_9.cif,17,H1 Se8 Zn8,0.7833,0.5589,1.0,0.5231,0.7,0.0,0.9412,60.69,likely_active,
194364_H_coverage_Bare_ZnSe_Neutral_Site_8.cif,17,H1 Se8 Zn8,0.7833,0.5589,1.0,0.5231,0.7,0.0,0.9412,60.69,likely_active,
194365_H_coverage_Bare_ZnSe_Neutral_Site_7.cif,17,H1 Se8 Zn8,0.7833,0.5644,1.0,0.5231,0.7,0.1,0.9412,62.78,likely_active,
194366_H_coverage_Bare_ZnSe_Neutral_Site_6.cif,17,H1 Se8 Zn8,0.7833,0.5644,1.0,0.5231,0.7,0.1,0.9412,62.78,likely_active,
194367_H_coverage_Bare_ZnSe_Neutral_Site_5.cif,17,H1 Se8 Zn8,0.7833,0.5644,1.0,0.5231,0.7,0.1,0.9412,62.78,likely_active,
194368_H_coverage_Bare_ZnSe_Neutral_Site_3.cif,17,H1 Se8 Zn8,0.7833,0.5533,1.0,0.5231,0.7,0.0,0.9412,60.61,likely_active,
194369_H_coverage_Bare_ZnSe_Neutral_Site_2.cif,17,H1 Se8 Zn8,0.7833,0.5644,1.0,0.5231,0.7,0.1,0.9412,62.78,likely_active,
194370_H_coverage_Bare_ZnSe_Neutral_Site_1.cif,17,H1 Se8 Zn8,0.7833,0.5589,1.0,0.5231,0.7,0.0,0.9412,60.69,likely_active,
194373_H_coverage_MEMI_Znse_Added_electron_Site_5.cif,71,C12 H21 N4 S2 Se16 Zn16,0.7833,0.5867,1.0,0.7781,0.7,0.1,0.4507,60.75,likely_active,
194374_H_coverage_MEMI_Znse_Added_electron_Site_4.cif,71,C12 H21 N4 S2 Se16 Zn16,0.7833,0.5756,1.0,0.7781,0.7,0.1,0.4507,60.59,likely_active,
194376_H_coverage_MEMI_Znse_Added_electron_Site_1.cif,71,C12 H21 N4 S2 Se16 Zn16,0.7833,0.5756,1.0,0.7781,0.7,0.1,0.4507,60.59,likely_active,
